__time,/forward_effort_controller/commands/data.0,/forward_effort_controller/commands/data.1,/forward_effort_controller/commands/data.2,/forward_effort_controller/commands/layout/data_offset,/joint_states/header/stamp,/joint_states/joint1/effort,/joint_states/joint1/position,/joint_states/joint1/velocity,/joint_states/joint2/effort,/joint_states/joint2/position,/joint_states/joint2/velocity,/joint_states/joint3/effort,/joint_states/joint3/position,/joint_states/joint3/velocity,/reference_joint/commands/data.0,/reference_joint/commands/data.1,/reference_joint/commands/data.2,/reference_joint/commands/layout/data_offset
1670040246.436738,,,,,3549.254000,-0.038431,1.999945,0.000965,-0.040662,1.499777,0.000778,50.000000,2.100007,-0.001696,,,,
1670040246.436819,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.436842,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.446443,,,,,3549.264000,0.707053,1.999987,0.013532,-1.149604,1.499673,-0.029162,50.000000,2.100062,-0.013818,,,,
1670040246.446543,,,,,3549.264000,0.707053,1.999987,0.013532,-1.149604,1.499673,-0.029162,50.000000,2.100062,-0.013818,,,,
1670040246.446707,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.446750,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.457203,,,,,3549.274000,-0.025668,2.000115,0.008325,-0.016109,1.499447,-0.017152,50.000000,2.100006,-0.003515,,,,
1670040246.457319,,,,,3549.274000,-0.025668,2.000115,0.008325,-0.016109,1.499447,-0.017152,50.000000,2.100006,-0.003515,,,,
1670040246.457681,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.457740,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.467215,,,,,3549.284000,-0.405185,2.000126,0.004933,1.036995,1.499362,-0.016899,50.000000,2.100039,-0.007677,,,,
1670040246.467309,,,,,3549.284000,-0.405185,2.000126,0.004933,1.036995,1.499362,-0.016899,50.000000,2.100039,-0.007677,,,,
1670040246.467711,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.467757,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.477666,,,,,3549.294000,-0.256643,2.000141,-0.002305,0.627942,1.499368,0.006650,50.000000,2.100003,-0.000859,,,,
1670040246.477726,,,,,3549.294000,-0.256643,2.000141,-0.002305,0.627942,1.499368,0.006650,50.000000,2.100003,-0.000859,,,,
1670040246.478127,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.478184,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.487769,,,,,3549.304000,-0.155561,2.000087,-0.001137,0.623384,1.499469,0.006995,50.000000,2.100032,-0.003221,,,,
1670040246.487821,,,,,3549.304000,-0.155561,2.000087,-0.001137,0.623384,1.499469,0.006995,50.000000,2.100032,-0.003221,,,,
